"modelLoop","generation","gameteSizeGene1","fusionTargetGene1","gameteSizeGene2","fusionTargetGene2"
89,0,1,4.32442711806991,3.25216965749711,5.51663324194877
89,0,3.68915759388399,5.13418058136619,2.09264189039808,5.36923579657082
89,0,3.08260331667793,4.5855078351916,1.05975582054503,1.2934119827519
89,0,3.5866266046907,1,4.96108828004341,3.08192734125864
89,0,5.54354011276442,1,1,1
89,0,1.47666131644743,2.36161949902478,1.92178768385215,1
89,0,5.08289478028556,6.57458255107849,1.61920917622461,2.11182589709736
89,0,1,1,2.8109381402703,1
89,0,1,3.82141183339624,4.82095042361041,5.43596721924728
89,0,2.00684006165945,2.87751270231384,2.38335956162867,3.04132603746057
89,0,1,5.11453206264034,3.97717919262976,1.96521981888129
89,0,1.28366224505354,4.03213849077894,1,1
89,0,1.55472350921024,1.20941866832298,5.48699035207034,1.58896932319088
89,0,1.30013523549826,6.01741262178078,1,2.953094185818
89,0,1.99135051793953,6.53756633971157,1,3.13973841514066
89,0,4.4436297132764,5.37517945486547,2.81591945174039,2.70338672270344
89,0,1.26311845703537,1,2.28922428265427,1
89,0,7.19790765736574,5.25890994898862,1.84613871398509,2.72931147363448
89,0,1,2.04243967650066,4.04958724998795,3.05826453879015
89,0,4.54657813584954,3.85652100043321,1,2.01798187832822
89,0,1,2.40674829529469,2.6295370355253,1
89,0,1.41968107689144,2.0884045194465,2.30693398041264,3.85074989086333
89,0,2.20297613542006,2.24137924594723,2.87481533241535,1
89,0,3.24076393280359,2.52124828964487,3.06731697809801,2.70439107458245
89,0,5.23212442881958,6.70034680895528,3.32259293056355,1.8853717263097
89,0,1.94475383700799,4.29541682145318,1.39946650078398,2.79569718014894
89,0,5.50484162820404,1,1.60632423182004,3.30815004810892
89,0,1,1,5.3379369486482,1.71194493631045
89,0,2.05657287303077,1.33450105912125,5.6720856123337,2.97323055737402
89,0,3.76670868945432,3.35743151865708,2.13500265542955,3.87233895554687
89,0,2.80783695922353,1.01740467513425,2.94771070297141,1.60072804240164
89,0,1.82156295903883,5.18469818178347,1,3.64697609975269
89,0,6.00381796608685,1,1.75575531080954,1
89,0,1.93022422036965,3.30567886907061,2.67426892038623,3.02454847699385
89,0,1.92226448558341,1.57432068117354,1,4.16313284377598
89,0,5.89727815703483,1.30403289426993,4.45439079889464,3.0357712723562
89,0,3.22543641694985,3.56250412552884,3.43961085085758,4.74231684260403
89,0,1.37132344610287,4.15482849298487,1,2.91450480153273
89,0,2.29597207257728,3.23513166410687,1.4495771342622,2.15879780377668
89,0,4.29946357914899,1,3.5334427089627,4.59403519024287
89,0,1,2.12502024385436,3.26446407402652,2.96271532512793
89,0,1.81248403294004,6.63405072222155,2.48591833444529,1
89,0,3.86822250735187,1,5.55373202701783,3.42664540813128
89,0,3.92805273148011,1,1,3.81399379921681
89,0,2.48177494681173,4.86025601610243,2.33472329353537,2.89588417570994
89,0,1,1,5.89650746282409,3.73588406260522
89,0,7.31760183512206,1.20020229409156,2.64096677442772,3.29006267401098
89,0,3.76537016804065,1.3218401011957,1,3.59292181151285
89,0,3.39439021411025,1,3.06020894563168,6.18492921037368
89,0,1.19340323332765,1.27844882071469,3.98045114701795,5.9907050246647
89,0,1,1,4.68323563972613,1.84467194644069
89,0,3.27743702662691,1.26570066186685,5.0689803332478,4.21727647017205
89,0,2.94249302777092,3.25420784114751,2.15319918873314,2.58010028078651
89,0,1,5.34634694377775,1.94652620347508,1
89,0,5.59049170765775,2.00325840750175,2.69062292833789,1
89,0,1,1,5.17958661717346,1.69775340878807
89,0,4.06478808836075,1,1.03511197792154,4.66718897422933
89,0,1.16380323619898,4.41901351201834,4.70266807690906,1
89,0,1.19593921233492,1,7.72159619187802,4.34499004700917
89,0,1,1,1,5.37066629007632
89,0,3.2092245624428,3.99167453386568,1,3.73579155852899
89,0,1,1,5.38121573412541,3.95397066675345
