"modelLoop","generation","gameteSizeGene1","fusionTargetGene1","gameteSizeGene2","fusionTargetGene2"
100,0,3.96752534994861,5.73493535693386,1,3.21756376523368
100,0,1,2.30185037522506,5.21674802985494,1.2587452373377
100,0,1.32015507117005,1,1,4.95477273006292
100,0,1,1.12312248471713,4.52064810127294,4.24114933004936
100,0,1.29622624281669,2.05840660814962,2.53069330153506,5.81306384452841
100,0,1,1.09583828799846,4.58041418642024,1.82426290839302
100,0,1.70848855538187,3.7494341926012,1,1
100,0,1,1,6.4301118144399,2.5413711068002
100,0,2.09890415845734,2.99956173997353,1,2.75670209251146
100,0,1,1,7.25043888656459,1
100,0,4.22832946713042,1.84014094526404,1,1.42707872571666
100,0,2.97622995808628,4.61875037504364,2.83118846034958,2.68665722836649
100,0,3.12368272317071,3.61154020828351,2.67902904162806,4.26210122093276
100,0,2.37791718760838,5.49225346910848,1.29727115699358,1.76381032474945
100,0,1,1.14709315446667,4.27485854800963,2.55353683675833
100,0,1,1,1.21105678440394,2.3274728958528
100,0,2.96944406941089,1,1,1
100,0,5.17356698175076,1,1,2.26350765811752
100,0,3.69090122424813,1,2.93924439562941,3.02909561832043
100,0,3.69375884498074,1,1,1
100,0,1,2.02138708907059,1,1
100,0,3.66642788827084,1,1,2.74882500147662
100,0,2.92495864808111,2.87294665697837,3.39049822801072,1
100,0,5.20043886595038,1,6.21183007953245,3.76539626121436
100,0,3.20950351705973,5.48830145437936,1,1
100,0,1,2.10164566510836,4.67050454983783,1
100,0,5.27405393390583,4.65898666647292,1.7481692346818,4.80449998228661
100,0,1,3.4125027582469,2.34317079007337,2.19889594235992
100,0,5.08796272574975,3.14755437187462,2.73793729257629,5.83322043853835
100,0,2.5189392076772,3.14275276665631,3.23198687770795,4.99604280726181
100,0,1,3.29918771827854,1,5.3960934587426
100,0,3.77298982028101,2.19568076586371,1,1.49905469440269
100,0,3.29520734703553,1.75584637905108,1.26497611952354,1.64413477003019
100,0,2.47484236848845,6.16228310224027,5.62669157357601,3.20826220333684
100,0,2.90293097325228,1,4.50850019935005,1.95955188053349
100,0,1,1,3.67460117934761,3.46856770965137
100,0,1,5.48645381005622,1,1
100,0,4.54348434269638,4.79676247132365,1,2.87073205603873
100,0,4.45122239823795,3.60258298803172,2.66895726940883,1
100,0,6.04219384627098,1,5.73532949166137,2.21730567343431
100,0,5.11769400940038,1.23181925908998,2.41457822516672,3.55427020039649
100,0,3.22192609132319,1.25448937106962,1,4.82817478831265
100,0,3.66199649771527,1.24373841315461,2.82739244632742,2.76334470038617
100,0,1,3.50794409697192,2.11950695632181,3.54246122231038
100,0,4.87804145804826,4.39476583186161,3.58931696922033,2.24184350838651
100,0,1,1,2.94267375215181,1.77295736051482
100,0,1.00538473824806,2.58589533589623,4.42732943837317,2.5894080821664
100,0,4.38057020924598,1.75952274844585,4.58517217504385,5.14993098113032
100,0,1.85329696499656,1,8.19936853564875,3.75753128933032
100,0,1,5.65861441025254,2.12585117248357,1
100,0,3.47831392742244,1.73385300971831,2.84224521232004,6.35852491452082
100,0,2.74002962704976,1,1.8191430836264,1
